id,area,tubo,nsem,germ
1,74,4.9,476,0.33
2,67.5,4.8,370,0.11
3,70,4.5,425,0.69
4,63.5,4.8,282,0.49
5,62.3,4.3,293,0.55
6,30.3,3.7,0,NA
7,54.5,4,0,NA
8,51.5,4.6,157,0.57
9,46.3,5.1,279,0.09
10,49,5.7,0,NA
11,55.5,4.5,256,0.6
12,48.8,5.6,25,0.84
13,45,4.8,279,0.85
14,41.3,5.4,104,0.73
15,43.5,4.6,257,0.48
16,48.5,4.7,263,0.27
17,53,5.4,0,NA
18,39.8,4,0,NA
19,49.8,5.2,267,0.61
20,64,4.2,213,0.65
21,43,5.2,221,0.45
22,53,4.8,261,0.41
23,46.5,4.7,260,0.48
24,51.8,4.2,0,NA
25,43.3,4.6,7,0
26,43.5,4.5,287,0.23
27,55,4,199,0.03
28,31,4,0,NA
29,39,3.7,12,0
30,28.3,3.5,0,NA
31,50.5,5.4,0,NA
32,40.3,4.6,180,0.92
33,33.8,3.4,0,NA
34,30.3,4.1,254,0.88
35,58.3,5.1,343,0.59
36,55.8,5.2,147,0.24
37,50,4.1,20,0.68
38,53.8,4.4,301,0.47
39,39.5,5.5,117,0.73
40,56,4.7,231,0.31
41,24.5,3.1,0,NA
42,57.3,5.2,211,0.79
43,61,5,374,0.55
44,29.8,4.5,124,0.76
45,48.5,4.2,269,0.81
46,22.5,3.5,0,NA
47,77,5.6,438,0.76
48,15.8,3.3,72,0.66
49,41,5.1,221,0.59
50,26.3,4.9,98,0.51
51,35,4.8,212,0.52
52,32,4.5,126,0.27
53,29,4.9,158,0.6
