id,area,tubo,nsem
1,79.3,4.5,85
2,82.5,6.2,58
3,70.0,5.0,386
4,48.0,4.0,379
5,53.0,4.5,466
6,60.0,4.5,458
7,59.5,5.0,250
8,40.5,4.1,316
9,76.0,5.2,315
10,75.5,5.7,349
11,52.3,4.0,353
12,59.5,4.9,382
13,50.5,4.1,451
14,88.3,5.5,412
15,78.5,4.6,355
16,60.5,4.7,384
17,61.5,4.2,55
18,67.5,5.7,228
19,56.5,5.6,360
20,70.0,5.6,398
21,80.5,4.6,440
22,52.5,4.3,65
23,45.0,4.4,404
24,69.5,4.7,394
25,69.5,5.0,371
26,54.8,5.5,429
27,64.0,4.9,363
28,27.5,4.7,429
29,66.8,5.8,431
30,70.3,5.2,338
31,58.5,4.5,229
32,52.8,4.2,351
33,44.8,3.6,371
34,63.5,4.6,286
35,53.5,4.1,321
36,47.3,4.1,0
37,76.8,5.2,424
38,67.5,5.3,181
39,73.0,5.0,142
40,82.8,4.4,158
41,47.3,4.7,295
42,63.0,5.0,375
43,61.5,4.1,437
44,72.5,5.0,374
45,64.5,5.2,357
46,64.8,4.6,421
47,32.8,3.1,250
48,56.0,4.2,376
49,65.0,5.1,348
50,67.3,4.6,442
51,63.0,4.4,355
52,56.8,5.1,344
53,64.8,4.7,369
54,47.0,4.1,434
55,77.0,6.0,411
56,64.0,5.1,398
57,81.0,5.3,366
58,82.0,4.3,347
59,61.0,4.7,302
60,76.8,5.9,85
61,55.3,4.9,349
62,54.0,4.6,290
63,77.0,5.2,323
64,40.5,4.1,121
65,50.0,4.8,67
66,48.0,4.7,64
67,66.0,4.9,242
68,41.5,5.1,407
69,51.0,4.2,87
70,59.0,5.3,272
71,53.0,4.7,210
72,47.3,4.7,114
73,68.8,4.7,299
74,29.0,5.0,190
75,68.3,5.1,121
76,53.3,4.5,76
77,75.0,5.0,251
