id,area,tubo,antera,estigma,nsem,germ
1,59.7,46,34.6,42.5,6,NA
2,51.2,44.6,31.5,38.9,121,0.8
3,59.2,50.1,29.7,38.9,57,1
4,43.2,45.7,27,38.5,241,0.6
5,43.5,50.3,29.2,40.5,0,0
6,60.9,52.1,32,45.1,235,0.9
7,53.4,42.7,30.3,39.2,188,1
8,54.9,46.1,29.8,39,185,0.8
9,57.7,48.8,28.9,41.9,236,1
10,67.1,53.9,28.1,42.1,309,1
11,67.9,44.8,28.7,44.4,279,1
12,72.4,49.9,32.2,36.9,370,1
13,66.4,46.7,27.3,40.2,60,1
14,68.2,49.3,30.9,40.1,203,NA
15,62.3,47.7,29.2,39.2,169,0.8
16,44.1,44.6,25,37.6,0,0
17,52.1,44.2,29.2,43.1,390,1
18,72.1,53,31.8,45.9,241,1
19,82.6,49.4,35.6,38.3,85,1
20,67.8,50.1,33.2,41,199,NA
21,59.6,48.4,31.1,40.8,242,0.9
22,52.8,41.3,32.4,39.1,47,NA
23,52.4,48.7,29.9,41,372,0.9
24,57.7,34.2,29.2,46,409,0.9
25,64.2,49.4,32.6,48.2,377,0.9
26,65.6,42.9,31.5,42.4,387,0.8
27,59.5,48,28.4,42.4,371,0.9
28,74.8,50,24.4,41.6,322,0.9
29,81.8,50.9,32.3,49.5,245,0.9
30,56.8,46.9,30.8,39.7,330,0.9
31,59.3,52.7,34.8,41.7,125,0.6
32,74.8,53.9,31.5,40.4,178,0.8
33,79.5,47.7,33.8,49.6,377,1
34,46.3,45.8,25.5,35.4,314,1
35,28.3,44.6,24.4,33,0,0
36,65.5,51.9,26.7,41.4,174,1
37,63.4,46.2,30.1,40.1,316,1
38,60,55.1,25.4,36.7,182,0.9
39,52,48.9,30.4,44.4,162,0.8
40,58.5,55.2,32.5,35.9,265,0.9
41,69.2,47.2,32.7,41.7,376,0.8
42,61,54.3,31.1,39.4,386,0.7
43,92.8,46.8,33.4,43.4,465,0.9
44,49.1,54,24,34.1,277,0.9
45,48.8,48.1,25.8,37.6,275,0.7
46,41.8,48.6,27.1,33.7,332,0.9
47,60.2,41.3,30.1,36.7,423,1
48,45.8,46.5,27.5,41.6,13,NA
49,52,43,28.8,42.7,0,0
50,45.2,36.5,21.3,37.5,0,0
51,67.6,49.8,28.4,42.8,139,0.7
52,75.8,43.6,26.5,37.1,324,1
53,71,61.3,27.1,41.3,245,1
54,51.8,50.5,29.8,42.9,98,0.6
55,82.6,52.9,30.4,39.8,216,0.9
56,72.7,53.4,27.8,44.5,100,0.9
57,53.2,44.6,26.8,39.5,50,NA
58,61.9,42.9,25,33.3,0,0
59,56.8,54.2,35.9,31,245,0.6
60,79.8,53.2,28.8,46.6,174,0.7
61,76.2,50.4,28.7,48.8,191,0.7
62,82.8,48.2,28.7,41.2,95,1
63,56.4,45.2,26,43.6,287,0.9
64,54.7,43.8,25.9,41.8,431,1
65,65.2,46.9,29.1,38,0,0
66,49.1,45.8,25,38,0,0
67,56.1,39,24,34.8,90,0.9
68,25,44.7,18.2,21.2,226,0.9
69,49.3,47.8,28.7,35.1,87,1
70,50.9,48.5,23.5,32.3,216,1
71,41.4,45.9,22.2,33.8,208,0.9
72,47,40.9,21.9,31.6,330,0.7
73,45,52,19.2,32.2,0,0
74,33.9,45.1,24.4,31.9,0,0
75,58.5,44.8,26.2,34.5,314,0.9
76,18.7,45.2,15.1,23.9,0,0
77,61.4,48.2,26.4,40.8,328,0.9
78,52.5,50.4,25.6,31.5,279,1
79,37.7,51.5,23.5,33.1,290,1
