 mm/dd/aaaa,hora,especie,ID,probos
11/21/2015,20:30,Eumorpha_vitis,SPH001,4.1
11/21/2015,20:20,Eumorpha_vitis,SPH002,3.9
11/21/2015,21:30,Eumorpha_labruscae,SPH003,5.5
12/5/2015,21:01,Xylophanes_tersa,SPH008,NA
12/14/2015,21:15,Manduca_diffisa,SPH009,7.5
12/14/2015,21:45,Manduca_diffisa,SPH010,7.0
2/1/2016,20:49,Eumorpha_fasciatus,SPH020,5.0
2/1/2016,21:45,Eumorpha_vitis,SPH021,4.1
2/1/2016,20:52,Eumorpha_triangulum,SPH023,4.5
2/1/2016,21:05,Xylophanes_tersa,SPH024,3.5
11/9/2016,20:40,Manduca_florestan,SPH0205,4.5
11/18/2016,21:01,Manduca_contracta,SPH02179,4.0
11/18/2016,20:56,Manduca_florestan,SPH0212,7.0
11/18/2016,20:42,Manduca_florestan,SPH0214,5.0
11/18/2016,21:01,Eumorpha_vitis,SPH0207,5.0
11/18/2016,21:06,Manduca_contracta,SPH0209,5.5
11/18/2016,22:09,Manduca_contracta,SPH0206,7.0
11/18/2016,21:16,Manduca_florestan,SPH0208,6.6
11/18/2016,21:05,Eumorpha_vitis,SPH0204,4.5
11/18/2016,21:47,Manduca_florestan,SPH0210,6.0
11/18/2016,20:48,Manduca_florestan,SPH0215,5.0
11/18/2016,20:30,Manduca_florestan,SPH0213,5.0
11/18/2016,20:56,Manduca_florestan,SPH0212,7.0
11/18/2016,20:45,Manduca_contracta,SPH0211,5.0
11/18/2016,21:10,Manduca_florestan,SPH0201,5.5
12/16/2016,22:03,Manduca_contracta,SPH0226,7.2
12/16/2016,21:30,Manduca_contracta,SPH0227,5.0
12/16/2016,21:15,Manduca_contracta,SPH0230,5.0
12/16/2016,22:00,Manduca_contracta,SPH0222,7.0
12/16/2016,22:00,Manduca_contracta,SPH0224,6.0
12/16/2016,21:30,Agrius_cingulata,SPH0225,9.0
12/16/2016,21:45,Eumorpha_vitis,SPH0228,4.5
12/16/2016,22:10,Manduca_contracta,SPH0229,7.0
12/16/2016,22:25,Eumorpha_vitis,SPH02181,4.0
1/12/2017,21:30,Eumorpha_fasciatus,SPH0237,4.1
1/12/2017,21:22,Manduca_contracta,SPH0253,6.0
1/12/2017,21:03,Eumorpha_vitis,SPH0254,4.3
1/12/2017,21:08,Eumorpha_vitis,SPH0231,4.0
1/12/2017,21:45,Manduca_florestan,SPH0233,5.0
1/12/2017,21:54,Eumorpha_fasciatus,SPH0234,4.0
1/12/2017,21:05,Eumorpha_vitis,SPH0236,4.5
1/12/2017,20:55,Eumorpha_vitis,SPH0240,4.0
1/12/2017,21:30,Eumorpha_vitis,SPH0243,4.2
1/12/2017,21:04,Eumorpha_fasciatus,SPH0232,4.5
1/12/2017,21:34,Eumorpha_fasciatus,SPH0235,6.0
1/12/2017,21:30,Eumorpha_vitis,SPH0238,4.5
1/12/2017,21:21,Eumorpha_vitis,SPH0241,4.5
1/12/2017,22:00,Manduca_florestan,SPH0242,4.5
1/12/2017,21:08,Manduca_contracta,SPH0244,6.5
1/12/2017,21:54,Xylophanes_tersa,SPH0246,3.5
1/12/2017,21:32,Xylophanes_tersa,SPH0252,3.4
1/12/2017,21:18,Eumorpha_vitis,SPH0249,4.5
1/12/2017,21:45,Eumorpha_fasciatus,SPH0250,4.5
1/12/2017,21:17,Manduca_florestan,SPH0256,NA
1/12/2017,21:20,Manduca_florestan,SPH0260,5.5
1/12/2017,21:54,Eumorpha_fasciatus,SPH0239,4.0
1/12/2017,21:30,Eumorpha_fasciatus,SPH0255,4.5
1/12/2017,21:00,Eumorpha_vitis,SPH0247,4.0
1/12/2017,20:56,Eumorpha_vitis,SPH0248,4.5
1/12/2017,21:12,Eumorpha_vitis,SPH0259,4.0
1/12/2017,20:45,Eumorpha_vitis,SPH0257,4.5
1/12/2017,21:27,Eumorpha_vitis,SPH0251,4.0
1/12/2017,21:12,Eumorpha_vitis,SPH0258,4.0
1/13/2017,2:30,Manduca_florestan,SPH0262,5.5
1/13/2017,1:36,Manduca_florestan,SPH0264,5.5
1/13/2017,1:38,Manduca_florestan,SPH0265,5.5
